Company Name,Rating,Reviews Count,Website,Phone,Address,Main Category,Price Range,Cuisine Types,Closed Status,Opening Hours,Maps URL,Place ID,Website Email,Facebook,Instagram,Twitter,LinkedIn
,,,,,,,,,,,https://www.google.com/maps/place/maman/data=!4m7!3m6!1s0x89c2598907e6cf2f:0x6cae8c20cdc913f5!8m2!3d40.7202877!4d-73.9983933!16s%2Fg%2F11b6bnj5v1!19sChIJL8_mB4lZwokR9RPJzSCMrmw?authuser=0&hl=en&rclk=1,maman,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Manhatta/data=!4m7!3m6!1s0x89c25bc797d635a1:0x60b055910436a0a4!8m2!3d40.7079974!4d-74.0088826!16s%2Fg%2F11gh9qhb9q!19sChIJoTXWl8dbwokRpKA2BJFVsGA?authuser=0&hl=en&rclk=1,Manhatta,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Rudy%27s+Bar+%26+Grill/data=!4m7!3m6!1s0x89c258524aab173b:0x62a5020e2c5d6a3e!8m2!3d40.7600309!4d-73.9917951!16s%2Fg%2F1tkmnghy!19sChIJOxerSlJYwokRPmpdLA4CpWI?authuser=0&hl=en&rclk=1,Rudy%27s+Bar+%26+Grill,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/NYC+Food+Tours/data=!4m7!3m6!1s0x89c25948a49653ad:0xc9bf01f3664dcc50!8m2!3d40.717927!4d-73.998877!16s%2Fg%2F11pdvxvzdb!19sChIJrVOWpEhZwokRUMxNZvMBv8k?authuser=0&hl=en&rclk=1,NYC+Food+Tours,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/LOS+TACOS+No.1/data=!4m7!3m6!1s0x89c25b5ac3fc353f:0xfe04b102174ebfc0!8m2!3d40.7422521!4d-74.0059635!16s%2Fg%2F12hp8ck5j!19sChIJPzX8w1pbwokRwL9OFwKxBP4?authuser=0&hl=en&rclk=1,LOS+TACOS+No.1,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Minetta+Tavern/data=!4m7!3m6!1s0x89c2599196190779:0xf5f0efaba6878e!8m2!3d40.7299881!4d-74.0007016!16s%2Fm%2F020f5k4!19sChIJeQcZlpFZwokRjoemq-_w9QA?authuser=0&hl=en&rclk=1,Minetta+Tavern,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/La+Parisienne/data=!4m7!3m6!1s0x89c25a182b9052b7:0xe65ba84701fe32ba!8m2!3d40.70959!4d-74.009362!16s%2Fg%2F11h9ry6lmy!19sChIJt1KQKxhawokRujL-AUeoW-Y?authuser=0&hl=en&rclk=1,La+Parisienne,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/RH+Rooftop+Restaurant+at+RH+New+York/data=!4m7!3m6!1s0x89c259f337272b95:0x813d03ddbc95800f!8m2!3d40.73985!4d-74.00639!16s%2Fg%2F11gnnvmd4l!19sChIJlSsnN_NZwokRD4CVvN0DPYE?authuser=0&hl=en&rclk=1,RH+Rooftop+Restaurant+at+RH+New+York,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Le+Bernardin/data=!4m7!3m6!1s0x89c25947ea10b457:0x6548e99cd73a1e6b!8m2!3d40.7614218!4d-73.9817558!16s%2Fm%2F02qsq9d!19sChIJV7QQ6kdZwokRax4615zpSGU?authuser=0&hl=en&rclk=1,Le+Bernardin,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Grace+Street+Coffee+%26+Desserts/data=!4m7!3m6!1s0x89c259a8e1682bf5:0xea388e8841a2955e!8m2!3d40.7477172!4d-73.9865302!16s%2Fg%2F11g696_rfj!19sChIJ9Sto4ahZwokRXpWiQYiOOOo?authuser=0&hl=en&rclk=1,Grace+Street+Coffee+%26+Desserts,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Old+Town+Bar/data=!4m7!3m6!1s0x89c259a22241efc3:0x47fed87e18b07624!8m2!3d40.7376111!4d-73.9891583!16s%2Fm%2F03cd_wg!19sChIJw-9BIqJZwokRJHawGH7Y_kc?authuser=0&hl=en&rclk=1,Old+Town+Bar,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Petite+Boucherie/data=!4m7!3m6!1s0x89c259941967edc9:0xb134b1b0991fdfa6!8m2!3d40.7338706!4d-74.0004319!16s%2Fg%2F12hnv4jky!19sChIJye1nGZRZwokRpt8fmbCxNLE?authuser=0&hl=en&rclk=1,Petite+Boucherie,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Slate+Cafe+NoMad/data=!4m7!3m6!1s0x89c259df2ee13933:0xd04d051d087c9b10!8m2!3d40.7453125!4d-73.9846013!16s%2Fg%2F11ckv6wkq4!19sChIJMznhLt9ZwokREJt8CB0FTdA?authuser=0&hl=en&rclk=1,Slate+Cafe+NoMad,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Au+Cheval/data=!4m7!3m6!1s0x89c25bb44ec0f1b7:0x4cfe753b3a1f111!8m2!3d40.7181205!4d-74.0017942!16s%2Fg%2F11gyc6jp6q!19sChIJt_HATrRbwokREfGhs1PnzwQ?authuser=0&hl=en&rclk=1,Au+Cheval,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Death+%26+Co+East+Village/data=!4m7!3m6!1s0x89c2599d344c4d29:0xf2d675ae58a2b743!8m2!3d40.72592!4d-73.9846452!16s%2Fm%2F0bh97t5!19sChIJKU1MNJ1ZwokRQ7eiWK511vI?authuser=0&hl=en&rclk=1,Death+%26+Co+East+Village,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/BAR+GOTO/data=!4m7!3m6!1s0x89c259846cb88661:0xfc81e8839b395d7c!8m2!3d40.7227802!4d-73.9898899!16s%2Fg%2F11bv38jp3d!19sChIJYYa4bIRZwokRfF05m4Pogfw?authuser=0&hl=en&rclk=1,BAR+GOTO,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Pocket+Bar+NYC/data=!4m7!3m6!1s0x89c25851af200bb3:0xc71fbfdf4fcd4bc2!8m2!3d40.7633732!4d-73.992283!16s%2Fg%2F11bbwmf5sy!19sChIJswsgr1FYwokRwkvNT9-_H8c?authuser=0&hl=en&rclk=1,Pocket+Bar+NYC,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Bluestone+Lane+Tribeca+Caf%C3%A9/data=!4m7!3m6!1s0x89c25b1eb14a639b:0x374d430af6453d28!8m2!3d40.7160834!4d-74.0085429!16s%2Fg%2F11rrqh3_mq!19sChIJm2NKsR5bwokRKD1F9gpDTTc?authuser=0&hl=en&rclk=1,Bluestone+Lane+Tribeca+Caf%C3%A9,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Aleef+Cafe/data=!4m7!3m6!1s0x89c259ad30ff58c3:0xa40168f3cf56ff27!8m2!3d40.7561758!4d-73.9925797!16s%2Fg%2F1td59jld!19sChIJw1j_MK1ZwokRJ_9Wz_NoAaQ?authuser=0&hl=en&rclk=1,Aleef+Cafe,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Cafe+Luna/data=!4m7!3m6!1s0x89c2596fcedfcf91:0xf0952161b4afbde!8m2!3d40.7383306!4d-74.0053786!16s%2Fg%2F11rgrx0mpd!19sChIJkc_fzm9ZwokR3vtKGxZSCQ8?authuser=0&hl=en&rclk=1,Cafe+Luna,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/In+Common+NYC+-+A+Breakfast+%26+Brunch+Restaurant/data=!4m7!3m6!1s0x89c259b52862a671:0xd50cb6d3dbcffc98!8m2!3d40.753835!4d-73.996243!16s%2Fg%2F11j2w8817l!19sChIJcaZiKLVZwokRmPzP29O2DNU?authuser=0&hl=en&rclk=1,In+Common+NYC+-+A+Breakfast+%26+Brunch+Restaurant,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Holiday+Cocktail+Lounge/data=!4m7!3m6!1s0x89c2599d03b26207:0x10791a98f16b66c9!8m2!3d40.727955!4d-73.985732!16s%2Fg%2F1tdg8qhs!19sChIJB2KyA51ZwokRyWZr8ZgaeRA?authuser=0&hl=en&rclk=1,Holiday+Cocktail+Lounge,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Caf%C3%A9+Lyria/data=!4m7!3m6!1s0x89c259f56e035771:0x1a404262f72adc1f!8m2!3d40.725846!4d-73.995426!16s%2Fg%2F11ptqg3xgh!19sChIJcVcDbvVZwokRH9wq92JCQBo?authuser=0&hl=en&rclk=1,Caf%C3%A9+Lyria,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/OLIO+E+PI%C3%99/data=!4m7!3m6!1s0x89c25996bd0915fd:0x294a27aedc2f4135!8m2!3d40.7338208!4d-73.9997931!16s%2Fg%2F1tjyvj49!19sChIJ_RUJvZZZwokRNUEv3K4nSik?authuser=0&hl=en&rclk=1,OLIO+E+PI%C3%99,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/The+Campbell/data=!4m7!3m6!1s0x89c2590189300cbd:0xb94e6b9642523640!8m2!3d40.752606!4d-73.977815!16s%2Fm%2F02pvztg!19sChIJvQwwiQFZwokRQDZSQpZrTrk?authuser=0&hl=en&rclk=1,The+Campbell,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Urban+Backyard/data=!4m7!3m6!1s0x89c2591b920da2bf:0x974c3ae78a7be9e4!8m2!3d40.7208064!4d-73.9966015!16s%2Fg%2F11g0tpkwp1!19sChIJv6INkhtZwokR5Ol7iuc6TJc?authuser=0&hl=en&rclk=1,Urban+Backyard,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Caf%C3%A9+Sabarsky/data=!4m7!3m6!1s0x89c25897f9fd5fd3:0x27020a995efb2bee!8m2!3d40.7812357!4d-73.9602568!16s%2Fm%2F0lqj27k!19sChIJ01_9-ZdYwokR7iv7XpkKAic?authuser=0&hl=en&rclk=1,Caf%C3%A9+Sabarsky,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Bar+Belly/data=!4m7!3m6!1s0x89c25a29b5a73de5:0x13a3b71184089c66!8m2!3d40.7151381!4d-73.9916374!16s%2Fg%2F11gzvd9wc!19sChIJ5T2ntSlawokRZpwIhBG3oxM?authuser=0&hl=en&rclk=1,Bar+Belly,,,,,
,,,,,,,,,,,https://www.google.com/maps/place/Le+Coucou/data=!4m7!3m6!1s0x89c25989f3630ecb:0xd048cf49523f429d!8m2!3d40.7191167!4d-74.0001861!16s%2Fg%2F11clvbwgj9!19sChIJyw5j84lZwokRnUI_UknPSNA?authuser=0&hl=en&rclk=1,Le+Coucou,,,,,
